ano,consorcio,servico,km_subsidiada,receita_total_esperada,receita_tarifaria_esperada,subsidio_esperado,subsidio_glosado,receita_total_aferida,receita_tarifaria_aferida,subsidio_pago,saldo
2022,Internorte,232,1257332.1119999997,8889338.031839998,6663858.39086,2225479.64098,0.0,13279310.630000005,11053831.0,2225479.629999998,4389972.598159998
2022,Internorte,238,73146.57300000018,517146.2711100002,385586.7970900002,131559.47402000008,0.0,390651.5400000001,259092.0,131559.54,-126494.73111
2022,Internorte,239,109133.04899999998,771570.6564300003,578729.0990300002,192841.5574,0.0,733756.53,540915.0,192841.53000000006,-37814.126430000004
2022,Internorte,247,708661.9210000011,5010239.78147,3756934.2338800007,1253305.5475899996,0.0,6989143.590000002,5735838.0,1253305.5900000012,1978903.8085300007
2022,Internorte,249,1054018.3300000005,7451909.5930999955,5576612.62474,1875296.9683600003,0.0,10468962.909999993,8593666.0,1875296.9099999985,3017053.316900001
2022,Internorte,254,10010.172000000013,70771.91604000005,54042.82727999998,16729.08876,0.0,94077.18000000007,77348.0,16729.179999999982,23305.26396
2022,Internorte,265,264149.5559999998,1867537.3609199997,1399198.4495499993,468338.91136999987,0.0,4049101.9499999993,3580763.0,468338.94999999995,2181564.58908
2022,Internorte,277,17475.798,123553.8918599998,93851.38818000005,29702.50367999998,0.0,231007.4299999999,201305.0,29702.43,107453.53813999987
2022,Internorte,292,869187.9260000011,6145158.6368200015,4608482.277899999,1536676.3589199989,0.0,6643952.340000002,5107276.0,1536676.3400000005,498793.70317999995
2022,Internorte,296,918.506,6493.83742,4537.41964,1956.4177799999998,0.0,7804.42,5848.0,1956.42,1310.5825800000002
2022,Internorte,298,881027.2420000004,6228862.600940001,4707241.0901,1521621.5108400001,0.0,7112797.469999999,5591176.0,1521621.4699999997,883934.8690599997
2022,Internorte,311,5138.793999999996,36331.273580000015,27612.76615999998,8718.507420000004,0.0,52180.34,43462.0,8718.340000000006,15849.06642000001
2022,Internorte,312,705721.7169999991,4989452.539190002,3736172.604130001,1253279.93506,0.0,6761260.929999999,5507981.0,1253279.9299999997,1771808.39081
2022,Internorte,313,379378.58500000014,2682206.595950003,2008603.8952299997,673602.7007200004,0.0,3066601.6200000006,2392999.0,673602.6199999995,384395.02404999954
2022,Internorte,321,407262.78800000047,2879347.911160001,2164440.6003599996,714907.3107999999,0.0,2956212.3300000005,2241305.0,714907.3300000001,76864.41883999988
2022,Internorte,323,506983.22400000045,3584371.393680001,2689471.1830199985,894900.21066,0.0,3260010.2099999995,2365110.0,894900.2099999998,-324361.18368000025
2022,Internorte,324,1323978.9690000003,9360531.310830003,6998879.983239999,2361651.32759,0.0,9224154.330000002,6862503.0,2361651.33,-136376.98083000042
2022,Internorte,325,180309.78400000045,1274790.17288,954170.9686999997,320619.2041799999,0.0,1365023.1800000025,1044404.0,320619.18,90233.00711999988
2022,Internorte,326,554346.6399999999,3919230.7447999986,2935272.44953,983958.2952700006,0.0,4105642.3099999987,3121684.0,983958.3100000008,186411.5651999998
2022,Internorte,327,29673.946000000004,209794.79822000008,157229.22761000003,52565.57061000002,0.0,197955.59000000005,145390.0,52565.59000000002,-11839.208220000024
2022,Internorte,328,1276808.0209999997,9027032.708470007,6766790.900459998,2260241.80801,0.0,8150019.75,5889778.0,2260241.7499999986,-877012.9584700005
2022,Internorte,329,636479.1610000001,4499907.668270002,3363935.735950001,1135971.93232,0.0,4474987.980000003,3339016.0,1135971.9800000002,-24919.68827000013
2022,Internorte,335,400001.67900000006,2828011.87053,2104560.48797,723451.3825599999,0.0,2999382.3999999976,2275931.0,723451.4000000003,171370.5294699999
2022,Internorte,342,413275.06299999997,2921854.695410002,2190007.45309,731847.2423199996,0.0,2527499.2199999993,1795652.0,731847.2199999997,-394355.4754100002
2022,Internorte,349,13706.248000000007,96903.1733599999,72867.96776000001,24035.2056,0.0,177626.20000000007,153591.0,24035.199999999997,80723.02663999998
2022,Internorte,350,291380.89300000004,2060062.9135099999,1544845.2885899998,515217.6249199997,0.0,1886276.5799999991,1371059.0,515217.58,-173786.33351000003
2022,Internorte,355,1349285.8200000008,9539450.747400003,7145423.540780006,2394027.206620001,0.0,10326248.180000005,7932221.0,2394027.1799999997,786797.432599999
